"router","endpoint","mô tả","method","input(req.body)","output(res.body)","middleware","error (unhappy path)","note","packages","test"
"Xác thực","/api/auth/login","Đăng nhập và cấp JWT","POST","{ username, password }","{ access_token, token_type, user }","Không cần auth; kiểm tra user; loại user hết hạn","401 sai thông tin đăng nhập; 403 tài khoản bị vô hiệu hóa; 400 dữ liệu không hợp lệ","token_type mặc định bearer","FastAPI; Pydantic; SQLAlchemy; bcrypt; PyJWT","Đúng/sai username; đúng/sai password; user deactive"
"Xác thực","/api/auth/register","Admin tạo user mới","POST","{ username, password, fullname, cccd, email?, phone?, expired_at, role }","UserPublic","JWT Bearer + require_admin; hash mật khẩu; kiểm tra trùng username/cccd","400 trùng username/cccd; 403 không có quyền; 400 validate fail","CCCD phải đủ 12 số","FastAPI; Pydantic; SQLAlchemy; bcrypt","Tạo thành công; trùng username; trùng CCCD; non-admin bị chặn"
"Xác thực","/api/auth/bootstrap","Tạo admin đầu tiên khi chưa có user","POST","{ username, password, fullname, cccd, email?, phone?, expired_at? }","UserPublic","Chỉ chạy khi DB chưa có user","403 đã có user; 400 validate fail","Nếu thiếu expired_at thì mặc định 2099-12-31","FastAPI; Pydantic; SQLAlchemy; bcrypt","Bootstrap lần đầu; bootstrap lần hai; thiếu expired_at"
"Xác thực","/api/auth/me","Lấy profile user hiện tại","GET","Không có body; cần Authorization Bearer","UserPublic","JWT Bearer + get_current_user; đồng bộ user hết hạn","401 chưa xác thực/token sai; 404 user không tồn tại","Dùng cùng schema với login/register","FastAPI; SQLAlchemy; PyJWT","Có token; thiếu token; token hết hạn; user bị xóa"
"Xác thực","/api/auth/recover-password","Xác minh username + CCCD và cấp mật khẩu tạm","POST","{ username, cccd }","{ message, temporary_password }","Không cần auth; tạo mật khẩu mới","400 username hoặc CCCD không đúng; 400 validate fail","Không thể trả mật khẩu cũ vì đã hash bằng bcrypt","FastAPI; Pydantic; SQLAlchemy; bcrypt; secrets","Đúng username/CCCD; sai username; sai CCCD"
"Xác thực","/api/auth/change-password","Đổi mật khẩu tài khoản hiện tại","POST","{ current_password, new_password, confirm_password }","{ ok, message }","JWT Bearer + get_current_user; so khớp mật khẩu cũ","400 confirm không khớp; 400 current sai; 400 new trùng current; 401 chưa xác thực","Chỉ có access token, không có refresh token","FastAPI; SQLAlchemy; bcrypt; PyJWT","Đổi thành công; current sai; confirm sai; new trùng current"
"Người dùng","/api/users","Danh sách user cho admin","GET","Không có body; cần Authorization Bearer","Array UserPublic","JWT Bearer + require_admin; tự điền authorized_devices","403 không có quyền admin; 401 chưa xác thực","authorized_devices là danh sách thiết bị đã phân quyền","FastAPI; SQLAlchemy","Admin thấy toàn bộ user; authorized_devices đúng"
"Người dùng","/api/users/{user_id}","Cập nhật trạng thái user","PATCH","{ status: active|deactive }","UserPublic","JWT Bearer + require_admin","404 không tìm thấy user; 403 không có quyền; 400 status không hợp lệ","Chỉ đổi status","FastAPI; SQLAlchemy; Pydantic","Đổi active/deactive; user không tồn tại"
"Người dùng","/api/users/{user_id}","Xóa user","DELETE","Không có body","204 không trả body","JWT Bearer + require_admin; không cho xóa chính mình","400 không thể xóa chính mình; 404 không tìm thấy user; 403 không có quyền","Xóa theo user_id","FastAPI; SQLAlchemy","Xóa user khác; chặn xóa chính mình"
"Thiết bị","/api/devices","Danh sách toàn bộ thiết bị","GET","Không có body; cần Authorization Bearer","Array DevicePublic","JWT Bearer + require_admin","403 không có quyền admin","Trả mọi thiết bị","FastAPI; SQLAlchemy","Admin thấy toàn bộ thiết bị; non-admin bị chặn"
"Thiết bị","/api/devices","Tạo thiết bị mới","POST","{ device_id, devicename?, password?, status?, user_device_asignment_id, location?/deviceLocation, device_type?/type?/deviceType, topic?, publish_topic? }","DevicePublic","JWT Bearer + require_admin; hỗ trợ alias field","409 thiết bị đã tồn tại; 403 không có quyền; 400 validate fail","Có thể truyền topic nhận và topic gửi mặc định","FastAPI; SQLAlchemy; Pydantic","Tạo mới; trùng device_id; nhận alias field"
"Thiết bị","/api/devices/my","Danh sách thiết bị của user hiện tại","GET","Không có body; cần Authorization Bearer","Array DevicePublic","JWT Bearer + get_current_user; lọc authorization còn hạn","401 chưa xác thực","Chỉ lấy thiết bị còn hiệu lực","FastAPI; SQLAlchemy","User có quyền thấy device; hết hạn không thấy"
"Thiết bị","/api/devices/{device_id}","Xem chi tiết thiết bị","GET","Không có body; path device_id; cần Authorization Bearer","DeviceDetailPublic","JWT Bearer + get_current_user; user thường phải có quyền; admin xem mọi thiết bị","404 không tìm thấy hoặc không có quyền; 401 chưa xác thực","authorized_users được trả trong response; user thường không lộ user_device_asignment_id","FastAPI; SQLAlchemy; Pydantic","Admin xem được; user có quyền xem được; user không có quyền bị 404"
"Thiết bị","/api/devices/{device_id}","Cập nhật một phần thiết bị","PATCH","{ devicename?, password?, status?, user_device_asignment_id?, location?/deviceLocation, device_type?/type?/deviceType, topic?, publish_topic? }","DevicePublic","JWT Bearer + require_admin; nếu đổi topic thì đồng bộ MQTT runtime","404 không tìm thấy thiết bị; 403 không có quyền","Topic nhận đổi sẽ subscribe/unsubscribe runtime; publish_topic chỉ lưu DB","FastAPI; SQLAlchemy; Pydantic; paho-mqtt","Đổi topic; đổi status; device không tồn tại"
"Thiết bị","/api/devices/topics","Danh sách topic theo thiết bị","GET","Không có body; cần Authorization Bearer","Array DeviceTopicPublic","JWT Bearer + require_admin","403 không có quyền admin","Dùng cho UI quản lý topic; gồm topic nhận và topic gửi","FastAPI; SQLAlchemy","Admin thấy topics; topic null vẫn hiển thị"
"Thiết bị","/api/devices/{device_id}/topic","Cập nhật topic riêng của thiết bị","PUT","{ topic: string | null, publish_topic: string | null }","DeviceTopicPublic","JWT Bearer + require_admin; đồng bộ MQTT runtime","404 không tìm thấy thiết bị; 403 không có quyền","topic nhận dùng cho subscribe; publish_topic dùng cho ping-echo/downlink","FastAPI; SQLAlchemy; paho-mqtt","Đặt topic mới; xóa topic; sync runtime"
"Thiết bị","/api/devices/{device_id}","Xóa thiết bị","DELETE","Không có body","204 không trả body","JWT Bearer + require_admin; xóa authorization liên quan trước","404 không tìm thấy thiết bị; 403 không có quyền","Xóa kèm device_authorization","FastAPI; SQLAlchemy","Xóa thành công; device không tồn tại"
"Phân quyền","/api/authorizations?user_id={id} hoặc ?device_id={id}","Liệt kê phân quyền theo user hoặc thiết bị","GET","Query phải có đúng một trong user_id hoặc device_id","Array AuthorizationPublic","JWT Bearer + require_admin","400 thiếu tham số hoặc truyền cả hai; 403 không có quyền admin","Bắt buộc đúng một query param","FastAPI; SQLAlchemy","Chỉ user_id; chỉ device_id; cả hai null; cả hai cùng lúc"
"Phân quyền","/api/authorizations","Tạo phân quyền user-thiết bị","POST","{ device_id, user_id, granted_at?, granted_by?, expired_at? }","AuthorizationPublic","JWT Bearer + require_admin; khóa chính ghép device_id + user_id","409 phân quyền đã tồn tại; 403 không có quyền; 400 validate fail","granted_by thường là username admin","FastAPI; SQLAlchemy; Pydantic","Tạo mới; trùng cặp device_id + user_id"
"Sức khỏe","/api/health","Kiểm tra API sống","GET","Không có body","{ status: ok }","Không có middleware đặc biệt","Không có lỗi nghiệp vụ đáng kể","Chỉ kiểm tra process","FastAPI","Trả 200; dùng cho liveness probe"
"Sức khỏe","/api/health/db","Kiểm tra DB","GET","Không có body","{ status: ok, db: ok, db_latency_ms }","Gọi db_ping","503 DB không khả dụng","Dùng cho readiness check","FastAPI; DB helper","DB lên; DB down; latency đúng"
"MQTT","/api/mqtt/status","Xem trạng thái MQTT subscriber","GET","Không có body","{ enabled, connected, host, port, client_id, topics, qos, started_at, last_connect_error, buffered_messages }","Đọc app.state.mqtt","503 mqtt subscriber chưa khởi tạo","Chỉ là snapshot runtime","FastAPI; paho-mqtt","Subscriber chạy; mất kết nối; chưa khởi tạo"
"MQTT","/api/mqtt/messages?limit=50","Lấy message MQTT gần nhất","GET","Query limit, mặc định 50, min 1, max 1000","{ items: [...] }","Đọc buffer RAM của MQTT runtime","503 mqtt subscriber chưa khởi tạo; 400 limit không hợp lệ","Không phải lịch sử dài hạn","FastAPI; paho-mqtt","Limit mặc định; limit max; limit sai"
"MQTT","/api/mqtt/topics","Danh sách topic MQTT runtime","GET","Không có body; cần Authorization Bearer","{ items: [topic...] }","JWT Bearer + require_admin; đọc app.state.mqtt","403 không có quyền admin; 503 mqtt chưa khởi tạo","Topic runtime được khôi phục từ device.topic khi startup","FastAPI; paho-mqtt","Admin xem được; non-admin bị chặn"
"MQTT","/api/mqtt/topics/subscribe","Subscribe topic runtime","POST","{ topic, qos? }","{ ok, changed, topics }","JWT Bearer + require_admin; subscribe không cần restart","403 không có quyền admin; 503 mqtt chưa khởi tạo; 400 body không hợp lệ","Dùng cho runtime management","FastAPI; Pydantic; paho-mqtt","Subscribe topic mới; topic trùng; qos custom"
"MQTT","/api/mqtt/topics/unsubscribe","Unsubscribe topic runtime","POST","{ topic, qos? }","{ ok, changed, topics }","JWT Bearer + require_admin; unsubscribe runtime","403 không có quyền admin; 503 mqtt chưa khởi tạo; 400 body không hợp lệ","Bỏ topic khỏi danh sách theo dõi","FastAPI; Pydantic; paho-mqtt","Unsubscribe topic đang theo dõi; topic không tồn tại"
"MQTT","/api/mqtt/history","Truy vấn dữ liệu gần nhất từ InfluxDB","GET","Query minutes mặc định 30, min 1, max 180; device_id tùy chọn","{ items: [{ ts, ts_iso, device_id, sensor_type, topic, location, temperature, vibration, x, y, voltage, current }], minutes, device_id }","Đọc app.state.influx; query history","503 influx service chưa khởi tạo; 400 minutes không hợp lệ","Nếu có device_id thì lọc theo thiết bị","FastAPI; influxdb-client","Minutes mặc định; filter device_id; service missing"
"MQTT","/api/mqtt/influx/status","Xem trạng thái InfluxDB","GET","Không có body","{ enabled, started, url, org, bucket, measurement, last_error }","Đọc app.state.influx","503 influx service chưa khởi tạo","Dùng để debug ghi dữ liệu","FastAPI; influxdb-client","Influx chạy; Influx dừng"
"Test","/api/test/config","Xem/cập nhật cấu hình test mode","GET/PUT","GET không body; PUT { enabled, protocol, gateway_id, node_id, device_id, message }","GET trả config; PUT trả config đã lưu","JWT Bearer + require_admin","403 không có quyền admin; 503 nếu test service chưa khởi tạo","protocol hiện có mqtt|websocket; MQTT test mới không còn gắn timestamp delay cũ","FastAPI; Pydantic; SQLAlchemy","Lưu cấu hình mqtt/websocket; device_id cho websocket"
"Test","/api/test/send","Gửi payload test MQTT dạng text","POST","{ protocol: mqtt, gateway_id, node_id, message }","{ ok, msg_id, topic, sent_at_ms, payload, payload_hex, note }","JWT Bearer + require_admin","403 không có quyền admin; 503 mqtt chưa khởi tạo; 422 body sai","Payload được publish UTF-8 text; nếu bắt đầu bằng PING| sẽ echo lại tương tự","FastAPI; paho-mqtt","Gửi text thường; gửi PING|hello; mqtt disabled"
"Test","/api/test/logs","Danh sách log test","GET","Query limit, device_name?, protocol?, device_id?","{ items: [...] }","JWT Bearer + require_admin","403 không có quyền admin","Dùng để kiểm tra log test theo protocol/device","FastAPI; SQLAlchemy","Filter protocol; filter device_id; filter device_name"
"WebSocket realtime","/api/ws/global","Broadcast realtime cho toàn bộ dashboard","WS","Không có body","Payload realtime sensor JSON","Cần RealtimeHub; client chỉ nhận dữ liệu","1011 nếu hub chưa khởi tạo; disconnect cleanup","Backend còn có alias /ws/global cho client cũ","FastAPI WebSocket; RealtimeHub; MQTT pipeline","Kết nối; nhận broadcast; hub missing"
"WebSocket realtime","/api/ws/devices/{device_id}","Stream realtime theo từng thiết bị","WS","Không có body bắt buộc; có thể gửi text hoặc binary","Payload realtime của đúng device_id","Cần RealtimeHub; join group theo device_id","1011 nếu hub chưa khởi tạo; payload sai thì bỏ qua","Hợp cho trang device detail","FastAPI WebSocket; RealtimeHub; protobuf decoder","Kết nối đúng device; gửi text; gửi binary; payload sai"
"WebSocket realtime","/api/ws/esp32/{device_id}","Kết nối hai chiều cho ESP32","WS","Path device_id; client có thể gửi JSON, binary, chuỗi rỗng, ping","Ack/echo/pong","Cần RealtimeHub; valid uplink sẽ được broadcast","1011 nếu hub chưa khởi tạo; JSON lỗi thì echo raw; disconnect cleanup","Có thể gửi binary frame; server trả số byte","FastAPI WebSocket; RealtimeHub; protobuf decoder","Connect ack; JSON received; binary echo_bytes; chuỗi rỗng pong; PING echo"